渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/12/06,1028884005,11663157360,12376638,1094,雀巢NIDO有机全脂奶粉900g,Dairy,2,1028884005YK,2771.385600,0.000000,1704.00,0.0000,0.0000,2021/12/08,160.4600,142.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,12333409373,12502717,1094,雀巢咖啡绝对深黑95%深烘速溶咖啡14.4g,Coffee,2,1028884005YK,207.366000,0.813200,127.00,0.0000,-0.003937,2021/12/08,9.6050,8.466667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,124090636,12479912,1094,雀巢咖啡1+2特浓双豆拼配条装即溶咖啡 91g(7条x13g),Coffee,2,1028884005YK,203.307196,0.007196,125.00,0.0000,-0.000035,2021/12/08,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,193290837,12293902,1094,雀巢优麦紫薯香芋牛奶燕麦片 350g,Dairy,2,1028884005YK,538.341279,0.002879,331.00,0.0000,-0.000005,2021/12/08,23.3770,20.6875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,12174291489,12461587,1094,雀巢（Nestle）怡跃 成人奶粉 女士高蛋白 高钙高铁 安骼脱脂奶粉 350g,Dairy,3,1028884005YK,1097.820000,0.000000,450.00,0.0000,0.0000,2021/12/08,42.3750,37.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,124090533,12478718,1094,雀巢咖啡1+2原味双豆拼配条装即溶咖啡 105g(7条x15g),Coffee,3,1028884005YK,304.960795,0.010795,125.00,0.0000,-0.000035,2021/12/08,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,104431706,12498467,1094,雀巢咖啡 醇品 速溶咖啡 36g/盒(1.8gx20包),Coffee,1,1028884005YK,458.627528,-0.017272,564.00,0.0000,0.000038,2021/12/08,13.2770,11.75,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,793465932,12322429,1094,雀巢 鹰麦炼奶低脂185g,Dairy,2,1028884005YK,377.313286,-0.011514,232.00,0.0000,0.000031,2021/12/08,10.9230,9.666667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028884005,124089590,12479927,1094,雀巢咖啡1+2奶香双豆拼配条装即溶咖啡 105g(7条x15g),Coffee,4,1028884005YK,406.614393,0.014393,125.00,0.0000,-0.000035,2021/12/08,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887307,103774181,,1098,雀巢（Nestle）宝贝营养+金装燕麦营养米粉（8-36个月）225克（9包X25克）,,1,1028887307YK,,,,,,2021/12/08,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
