Order Date,PO No.,SAP PO,仓号,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,Order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
2021/12/21,4001014219,4001014219-DGPDC-1221-40,7013,DGPDC,REGPROWDGF,,,,265,2021/08/20,2021/09/01,exception,跨月订单; 重复订单：订单修改MABD,Order,6,2021/08/27,2021/09/01,,,,,,,,,,跨月订单; 重复订单：订单修改MABD
2021/12/21,4400501740,4400501740-ZZFDC-1221-41,7466,ZZFDC,POS REPLEN,,,,32,2021/07/19,2021/07/28,exception,重复订单：订单修改MABD,Order,4,2021/07/26,2021/07/28,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,4400501775,4400501775-ZZFDC-1221-42,7466,ZZFDC,POS REPLEN,,,,17,2021/07/26,2021/08/02,exception,跨月订单,Order,5,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,4400501807,4400501807-ZZFDC-1221-43,7466,ZZFDC,POS REPLEN,,,,16,2021/08/02,2021/08/09,clean,,Order,4,,2021/08/09,,,,,,,,,,
2021/12/21,4400501839,4400501839-ZZFDC-1221-44,7466,ZZFDC,POS REPLEN,,,,3,2021/08/09,2021/08/16,clean,,Order,2,,2021/08/16,,,,,,,,,,
2021/12/21,5050455111,5050455111-SYFDC-1221-45,7428,SYFDC,HODEMWKSYF,,,,14,2021/07/22,2021/07/29,clean,,Order,7,,2021/07/29,,,,,,,,,,
2021/12/21,5050455112,5050455112-SYFDC-1221-46,7428,SYFDC,REGPROWSYF,,,,1,2021/07/22,2021/07/29,clean,,Order,1,,2021/07/29,,,,,,,,,,
2021/12/21,5050455142,5050455142-SYFDC-1221-47,7428,SYFDC,HODEMWKSYF,,,,24,2021/07/26,2021/08/02,exception,跨月订单,Order,3,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,5050455173,5050455173-SYFDC-1221-48,7428,SYFDC,HODEMWKSYF,,,,7,2021/07/31,2021/08/09,exception,重复订单：订单修改MABD,Order,4,2021/08/07,2021/08/09,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,5050455201,5050455201-SYFDC-1221-49,7428,SYFDC,HODEMWKSYF,,,,101,2021/08/03,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,5200917000,5200917000--1221-50,,,HODEMWK27,,,,4,2021/08/06,2021/08/13,exception,Ship to为门店订单,Order,2,,2021/08/13,,,,,,,,,,Ship to为门店订单
2021/12/21,5500467312,5500467312-SHFDC-1221-50,7026,SHFDC,HODEMWKSHF,,,,3,2021/07/20,2021/07/27,exception,重复订单：订单修改MABD,Order,1,2021/07/26,2021/07/27,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,5500467355,5500467355-SHFDC-1221-51,7026,SHFDC,HODEMWKSHF,,,,2,2021/07/22,2021/07/29,clean,,Order,2,,2021/07/29,,,,,,,,,,
2021/12/21,5500467401,5500467401-SHFDC-1221-52,7026,SHFDC,HODEMWKSHF,,,,27,2021/07/26,2021/08/07,exception,重复订单：订单修改MABD,Order,3,2021/08/06,2021/08/07,,,,,,,,,,重复订单：订单修改MABD
