Order Date,PO No.,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
11/16/2021,1550590463,SZDC,STOF4,Dairy,,,80,11/02/2021,11/09/2021,exception,,Item,11,,11/09/2021,020609480,12481583,"雀巢怡运全脂营养奶粉@8x1KG CN  ",,,,4,411,400,价差订单
11/16/2021,1550590463,SZDC,STOF4,,,,80,11/02/2021,11/09/2021,exception,STOF4订单,Order,11,,11/09/2021,,,,,,,,,,STOF4订单
11/16/2021,1550590464,SZDC,STOF4,,,,4,11/02/2021,11/08/2021,exception,STOF4订单,Order,1,,11/08/2021,,,,,,,,,,STOF4订单
11/16/2021,1550590637,SZDC,STOF4,Coffee,,,48,11/03/2021,11/09/2021,exception,,Item,11,,11/09/2021,021208187,12077778,雀巢咖啡醇品袋装@48(20x1.8g)CN,,,,3,411,400,价差订单
11/16/2021,1550590637,SZDC,STOF4,,,,48,11/03/2021,11/09/2021,exception,STOF4订单,Order,11,,11/09/2021,,,,,,,,,,STOF4订单
11/16/2021,1550590638,SZDC,STOF4,,,,35,11/03/2021,11/08/2021,exception,STOF4订单,Order,1,,11/08/2021,,,,,,,,,,STOF4订单
11/16/2021,1550590862,SZDC,STOF4,,,,30,11/04/2021,11/09/2021,exception,STOF4订单,Order,1,,11/09/2021,,,,,,,,,,STOF4订单
11/16/2021,1550590885,SZDC,MODWK43,,,,55,11/04/2021,11/09/2021,clean,,Order,2,,11/09/2021,,,,,,,,,,
11/16/2021,1550591042,SZDC,MODWK43,,,,2,11/05/2021,11/11/2021,clean,,Order,2,,11/11/2021,,,,,,,,,,
11/16/2021,1550591080,SZDC,MODWK44,,,,122,11/07/2021,11/15/2021,clean,,Order,3,,11/15/2021,,,,,,,,,,
11/16/2021,1550591087,SZDC,3432REQ,Dairy,,,65,11/08/2021,11/10/2021,exception,,Item,2,,11/10/2021,020210868,12492096,雀巢怡运全家营养奶粉袋装@12x300gCN,,,,50,,,特殊产品需检查订单
11/16/2021,1550591087,SZDC,3432REQ,Dairy,,,65,11/08/2021,11/10/2021,exception,REQ订单; 客户指定送货日不在行程日,Order,2,,11/10/2021,,,,,,,,,,REQ订单; 客户指定送货日不在行程日
11/16/2021,1550591176,SZDC,STOF4,,,,5,11/08/2021,11/15/2021,exception,STOF4订单,Order,1,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,1550591204,SZDC,STOF4,Dairy,,,90,11/08/2021,11/15/2021,exception,,Item,2,,11/15/2021,020210802,12483915,雀巢怡养健心中老年奶粉袋装 @12(16x25g) CN,,,,30,,,特殊产品需检查订单
11/16/2021,1550591204,SZDC,STOF4,,,,90,11/08/2021,11/15/2021,exception,STOF4订单,Order,2,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,1550591205,SZDC,STOF4,,,,15,11/08/2021,11/14/2021,exception,STOF4订单,Order,1,,11/14/2021,,,,,,,,,,STOF4订单
11/16/2021,1550591297,SZDC,MODWK44,,,,6,11/08/2021,11/15/2021,clean,,Order,1,,11/15/2021,,,,,,,,,,
11/16/2021,1550591374,SZDC,STOF4,Dairy,,,2,11/09/2021,11/15/2021,exception,,Item,2,,11/15/2021,020815761,12457551,雀巢鹰唛炼奶芝士味听装 @48x350g CN,,,,1,577,557,价差订单
11/16/2021,1550591374,SZDC,STOF4,,,,2,11/09/2021,11/15/2021,exception,STOF4订单,Order,2,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,1550591451,SZDC,MODWK44,,,,1,11/09/2021,11/14/2021,clean,,Order,1,,11/14/2021,,,,,,,,,,
11/16/2021,1550591453,SZDC,MODWK44,,,,185,11/09/2021,11/15/2021,clean,,Order,3,,11/15/2021,,,,,,,,,,
11/16/2021,1550591455,SZDC,HODEMWK41,,,,309,11/09/2021,11/11/2021,clean,,Order,1,,11/11/2021,,,,,,,,,,
11/16/2021,1550591472,SZDC,FWBWK41,,,,1,11/10/2021,11/15/2021,clean,,Order,1,,11/15/2021,,,,,,,,,,
11/16/2021,1550591493,SZDC,FWBWK41,,,,2,11/10/2021,11/15/2021,clean,,Order,1,,11/15/2021,,,,,,,,,,
11/16/2021,1600435776,GZDC,SYSOS,,,稳定,48,10/29/2021,11/01/2021,exception,仓租不为1.3%订单; 跨月订单,Order,1,,11/01/2021,,,,,,,,,,仓租不为1.3%订单; 跨月订单
