Id,Name,店铺名,流程配置路径
fd6230d0-2dca-43ca-bb64-dc7b03eaa6ef,Iecreuset酷彩官方旗舰店_一级类目_市场,LE CREUSET酷彩官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_一级类目_市场.xlsx
8321c90e-3216-4897-a84a-8dad60498162,lecreuset酷彩官方旗舰店_店铺排行,LE CREUSET酷彩官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_市场排行_店铺排行.xlsx
13230a63-62c4-4821-8d31-79bfca07a783,LEPEBBLE乐有石旗舰店_店铺排行,LEPEBBLE乐有石旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\LEPEBBLE乐有石旗舰店_店铺排行.xlsx
6394e697-ae1e-4512-b362-087f14ab27ce,moleskine官方旗舰店_市场排行_店铺排行,moleskine官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\moleskine官方旗舰店_市场排行_店铺排行.xlsx
deb95d05-dc0d-43d9-9f4c-8f33fc2ec0c7,moleskine官方旗舰店_市场排行_一级类目,moleskine官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\moleskine官方旗舰店_市场排行_一级类目.xlsx
44dee678-9e0f-4bf5-b142-599fa6dfcede,oysho官方旗舰店_店铺排行,oysho官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_店铺排行.xlsx
ad94d602-73c2-475f-8451-e5e7257fcbca,oysho官方旗舰店_内_店铺排行2,oysho官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_内衣家居服_店铺排行2.xlsx
4fe37390-9aae-40fc-90ed-56609853dcbb,oysho官方旗舰店_内衣家居服_店铺排行,oysho官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_内衣家居服_店铺排行.xlsx
ffb45e55-825e-4386-95d4-db070e069ef2,oysho官方旗舰店_内衣家居服_一级类目,oysho官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_一级类目-内衣家居服_市场.xlsx
f5acd86b-ffb3-413c-ba26-4e450c9e2f37,oysho官方旗舰店_市场排行_店铺排行3,oysho官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_市场排行_店铺排行3.xlsx
29cce996-e872-4dba-8c17-b339f27bc6c2,oysho官方旗舰店_一级类目_市场,oysho官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_一级类目_市场.xlsx
3032463d-592c-44e0-8c0a-cf53a6071acc,PORTSPURE旗舰店_店铺排行,PORTSPURE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTSPURE旗舰店_店铺排行.xlsx
e96251ae-0eab-4e90-9730-dda39ba83765,PORTSPURE旗舰店_店铺排行2,PORTSPURE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTSPURE旗舰店_店铺排行2.xlsx
21fac0af-4d7f-4bde-8fcc-78a18b8e46dd,PORTSPURE旗舰店_市场排行_一级类目,PORTSPURE旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTSPURE旗舰店_市场排行_一级类目.xlsx
49dd2c0b-0c3f-4804-989a-d4d3e82a478b,PORTS宝姿男装旗舰店_店铺排行,PORTS宝姿男装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTS宝姿男装旗舰店_店铺排行.xlsx
0e72984c-5485-4826-be76-2368e90e97e6,PORTS宝姿男装旗舰店_店铺排行2,PORTS宝姿男装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTS宝姿男装旗舰店_店铺排行2.xlsx
