Column-0,订货门店/仓库,供商卡号,订单号,订货日期,计划到货日期,订单状态,业务类型,订单类型,供应商,打印状态,确认方式,操作,订单PrintPO,直流CPO异常,RDD异常
,3 - 麦德龙商业集团有限公司南区转运仓国内干货非食,54484,221240030100,2022-05-04,2022-05-11,可收货,自营采购订单,直流CPO,惠氏(上海)贸易有限公司,已打印,自动确认,查看详情,PO97225400030075,,
,3 - 麦德龙商业集团有限公司南区转运仓国内干货非食,54484,221230030039,2022-05-03,2022-05-08,可收货,自营采购订单,直流CPO,惠氏(上海)贸易有限公司,已打印,自动确认,查看详情,PO97225300030034,,
