供商编码,供商名称,门店/仓库编码,门店/仓库名称,订单号,订货日期,计划到货日期,麦德龙总部商品编码,商品名称,商品编码,国条,种类,供应商商品编号,订货量,订货单位,邮报编码,CPO单号,大仓编码,订单类型,业务类型,订单状态,打印状态,确认方式,直流CPO异常,CPO异常原因,RDD异常,供商编码_1,供商名称_1,门店/仓库编码_1,门店/仓库名称_1,订单号_1,订货日期_1,计划到货日期_1,麦德龙总部商品编码_1,商品名称_1,商品编码_1,国条_1,种类_1,供应商商品编号_1,订货量_1,订货单位_1,邮报编码_1,CPO单号_1,大仓编码_1,订单类型_1,提单日期,门店/仓库编码（原）,订单日期,RDD,DC,Ship to,Sold To,PO number,产品描述,惠氏sku,彩箱装,紧缺,箱数,惠氏箱价,总计,订单PrintPO
54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221240030100,2022/5/4 15:11:52,20220511,232254001002,惠氏启赋蕴淳婴儿配方奶粉350g,232254001002,7613036489515,,54484,1,H12,,,,直流CPO,自营采购订单,可收货,已打印,自动确认,,,,54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221240030100,2022/5/4 15:11:52,20220511,232254001002,惠氏启赋蕴淳婴儿配方奶粉350g,232254001002,7613036489515,,54484,1,H12,,,,直流CPO,2022/05/05,,2022/5/4 15:11:52,2022/5/11 0:00:00,广州,5515686,1843425,3/221240030100,,,,,1,,,PO97225400030075
54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221230030039,2022/5/3 13:40:34,20220508,232170001002,惠氏铂臻婴儿配方奶粉350g,232170001002,7613036583633,,54484,1,H12,,,,直流CPO,自营采购订单,可收货,已打印,自动确认,,,,54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221230030039,2022/5/3 13:40:34,20220508,232170001002,惠氏铂臻婴儿配方奶粉350g,232170001002,7613036583633,,54484,1,H12,,,,直流CPO,2022/05/05,,2022/5/3 13:40:34,2022/5/8 0:00:00,广州,5515686,1843425,3/221230030039-cxz,惠氏铂臻婴儿配方奶粉（Leman1） @12x350g CN,12375428,彩箱装,紧缺品,1,535.8,535.8,PO97225300030034
54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221230030039,2022/5/3 13:40:34,20220508,232171001002,惠氏铂臻较大婴儿配方奶粉350g,232171001002,7613039939802,,54484,1,H12,,,,直流CPO,自营采购订单,可收货,已打印,自动确认,,,,54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221230030039,2022/5/3 13:40:34,20220508,232171001002,惠氏铂臻较大婴儿配方奶粉350g,232171001002,7613039939802,,54484,1,H12,,,,直流CPO,2022/05/05,,2022/5/3 13:40:34,2022/5/8 0:00:00,广州,5515686,1843425,3/221230030039,惠氏铂臻较大婴儿配方奶粉(Leman1)@12x350g CN,12450520,,紧缺品,1,535.8,535.8,PO97225300030034
54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221230030039,2022/5/3 13:40:34,20220508,232256001002,惠氏启赋蕴淳较大婴儿配方奶粉350g,232256001002,7613036547932,,54484,1,H12,,,,直流CPO,自营采购订单,可收货,已打印,自动确认,,,,54484,惠氏(上海)贸易有限公司,3,麦德龙商业集团有限公司南区转运仓国内干货非食,221230030039,2022/5/3 13:40:34,20220508,232256001002,惠氏启赋蕴淳较大婴儿配方奶粉350g,232256001002,7613036547932,,54484,1,H12,,,,直流CPO,2022/05/05,,2022/5/3 13:40:34,2022/5/8 0:00:00,广州,5515686,1843425,3/221230030039-cxz,惠氏启赋蕴淳较大婴儿配方奶粉 @12x350g CN,12372664,彩箱装,紧缺品,1,914.52,914.52,PO97225300030034
