Document Number,Document Type,Received Date,Vendor Number,Location
0600575551,PO,7/4/2022 10:09:49 PM,196654,4874
0750427204,PO,7/4/2022 10:09:47 PM,196654,4817
7600564059,PO,7/4/2022 5:07:33 AM,196654,7466
7150566341,PO,7/4/2022 5:07:29 AM,196654,7495
7026583445,PO,7/4/2022 5:07:07 AM,196654,7429
3950439420,PO,7/4/2022 5:07:03 AM,196654,7400
3850573213,PO,7/4/2022 5:06:36 AM,196654,7433
3800324944,PO,7/4/2022 5:06:35 AM,196654,7428
3150611592,PO,7/4/2022 5:06:35 AM,196654,7484
2000995806,PO,7/4/2022 5:06:32 AM,196654,7496
1100434422,PO,7/4/2022 5:05:49 AM,196654,1047
9950615460,PO,7/4/2022 4:16:17 AM,196654,4802
9950615096,PO,7/4/2022 4:15:31 AM,196654,4819
9950615094,PO,7/4/2022 4:15:31 AM,196654,4817
9950615090,PO,7/4/2022 4:14:57 AM,196654,4873
9950615091,PO,7/4/2022 4:14:53 AM,196654,4874
9950615092,PO,7/4/2022 4:14:52 AM,196654,4802
1700613185,PO,7/4/2022 4:14:41 AM,196654,4802
7150566330,PO,7/4/2022 4:06:34 AM,196654,7495
3950439412,PO,7/4/2022 4:06:34 AM,196654,7400
7026583438,PO,7/4/2022 4:06:33 AM,196654,7429
7026583425,PO,7/4/2022 2:05:23 AM,196654,7429
5250512359,PO,7/4/2022 2:05:21 AM,196654,7496
7150566317,PO,7/4/2022 2:05:13 AM,196654,7495
9100503394,PO,7/4/2022 2:05:01 AM,196654,7484
3150611557,PO,7/4/2022 2:04:55 AM,196654,7484
9950614005,PO,7/4/2022 12:07:16 AM,196654,4819
7750501711,PO,7/3/2022 1:57:43 PM,196654,7433
6750502501,PO,7/3/2022 1:57:31 PM,196654,7495
6800502066,PO,7/3/2022 1:57:27 PM,196654,7428
5450507668,PO,7/3/2022 1:57:20 PM,196654,7495
3850506097,PO,7/3/2022 1:57:17 PM,196654,7466
5700956071,PO,7/3/2022 1:57:11 PM,196654,7433
3550507663,PO,7/3/2022 1:56:50 PM,196654,7484
3150522185,PO,7/3/2022 1:56:38 PM,196654,7429
2100506452,PO,7/3/2022 1:56:37 PM,196654,7496
2500956486,PO,7/3/2022 1:56:35 PM,196654,7400
1650506346,PO,7/3/2022 1:56:14 PM,196654,7429
5500586577,PO,7/3/2022 1:40:41 PM,196654,4873
9900419281,PO,7/3/2022 1:40:22 PM,196654,4819
1700613381,PO,7/3/2022 1:39:42 PM,196654,4802
0750427204,PO,7/3/2022 1:39:40 PM,196654,4817
0600575551,PO,7/3/2022 1:39:38 PM,196654,4874
7026583392,PO,7/2/2022 10:34:59 AM,196654,7429
7026583420,PO,7/1/2022 4:07:30 AM,196654,7429
7026583373,PO,7/1/2022 3:34:36 AM,196654,7429
7026583378,PO,7/1/2022 3:34:33 AM,196654,7429
6800502052,PO,7/1/2022 3:34:32 AM,196654,7428
1650506305,PO,7/1/2022 3:34:24 AM,196654,7429
3150522171,PO,7/1/2022 3:34:20 AM,196654,7429
9600613214,PO,7/1/2022 2:10:08 AM,196654,4802
9600612657,PO,7/1/2022 2:09:50 AM,196654,4819
9600612652,PO,7/1/2022 2:09:49 AM,196654,4802
9100503394,PO,6/30/2022 1:54:34 PM,196654,7484
5450507645,PO,6/30/2022 1:54:22 PM,196654,7495
6800502057,PO,6/30/2022 1:54:22 PM,196654,7428
7800522439,PO,6/30/2022 1:54:21 PM,196654,7400
5250512359,PO,6/30/2022 1:54:21 PM,196654,7496
7750501706,PO,6/30/2022 1:54:20 PM,196654,7433
6750502492,PO,6/30/2022 1:54:20 PM,196654,7495
5800501808,PO,6/30/2022 1:54:20 PM,196654,7466
3550507639,PO,6/30/2022 1:54:15 PM,196654,7484
3850506074,PO,6/30/2022 1:54:11 PM,196654,7466
2100506432,PO,6/30/2022 1:53:44 PM,196654,7496
3150522177,PO,6/30/2022 1:53:44 PM,196654,7429
3550507637,PO,6/30/2022 1:53:42 PM,196654,7484
2500956467,PO,6/30/2022 1:53:41 PM,196654,7400
1650506322,PO,6/30/2022 1:53:41 PM,196654,7429
