id,customer_name,order_capture_date,order_date_time,requested_delivery_date,dc_no,customer_order_number,order_type,customer_sku,customer_product_name,customer_product_size,customer_product_unit_count,customer_product_qty,customer_product_unit_price,customer_product_sales,discount,real_discount,customer_order_sales,customer_order_sales_discount,customer_order_status,wyeth_sold_to,wyeth_ship_to,wyeth_customer_name,wyeth_POID,wyeth_sku,wyeth_product_name,wyeth_product_size,wyeth_product_packages,wyeth_product_unit_price,wyeth_product_nps,wyeth_order_sales,discount_order_sales,constraint_remark,cxz_remark,exception_category,exception_detail,remark1,created_time,updated_time
1970,沃尔玛,2022/6/15 0:00,2022/6/14 0:00,2022/6/15 0:00,2073,1100434190,2073REQ,20755558,惠氏启赋蕴萃3段 HO WYETH BB MILK,,,20,1663.74,33274.8,,,,,,,,,1100434190,12331703,惠氏启赋蕴萃幼儿配方奶粉（12-36月龄，3段） @6x900g CN,,20,,1663.74,33274.8,32742.4,6月全品控DOH,,门店订单不处理|RDD<3D|客户percent异常|订单价格差异,门店订单待确认如何处理|订单计划到货日期在3天内，需确认是否录入订单或延单|客户改Percent，沃尔玛1.6%，有变更需邮件告知facing请改为常规固定折扣|订单价差：1307.75；价差介于0.01RMB，单价价差：0,,2022/6/15 9:26,2022/6/15 9:26
1971,沃尔玛,2022/6/15 0:00,2022/6/14 0:00,2022/6/15 0:00,2073,1100434190,2073REQ,20540534,启赋蕴淳2段奶粉 HO BABY FORMULA,,,2,1934.58,3869.16,,,,,,,,,1100434190,12462581,启赋蕴淳较大婴儿配方奶粉2阶段 @6x850g N1 CN,,2,,1934.58,3869.16,3807.25,6月全品控DOH,,门店订单不处理|RDD<3D|客户percent异常|订单价格差异,门店订单待确认如何处理|订单计划到货日期在3天内，需确认是否录入订单或延单|客户改Percent，沃尔玛1.6%，有变更需邮件告知facing请改为常规固定折扣|订单价差：1307.75；价差介于0.01RMB，单价价差：0,,2022/6/15 9:26,2022/6/15 9:26
1972,沃尔玛,2022/6/15 0:00,2022/6/14 0:00,2022/6/15 0:00,2073,1100434190,2073REQ,20411802,惠氏启赋2段 HO ILLUMA FORMULA,,,5,1565.22,7826.1,,,,,,,,,1100434190,12480031,惠氏启赋较大婴儿配方奶粉（6-12月龄，2段） @6x810g CN,,5,,1565.22,7826.1,7700.88,6月全品控DOH,,门店订单不处理|RDD<3D|客户percent异常|订单价格差异,门店订单待确认如何处理|订单计划到货日期在3天内，需确认是否录入订单或延单|客户改Percent，沃尔玛1.6%，有变更需邮件告知facing请改为常规固定折扣|订单价差：1307.75；价差介于0.01RMB，单价价差：0,,2022/6/15 9:26,2022/6/15 9:26
1973,沃尔玛,2022/6/15 0:00,2022/6/14 0:00,2022/6/15 0:00,2073,1100434190,2073REQ,20141066,惠氏铂臻3段箱装 ULTIMA S3,,,10,1056.9,10569,,,,,,,,,1100434190,12492707,惠氏铂臻幼儿配方奶粉（Leman1.5）@6x780g CN ,,10,,1056.9,10569,10399.9,6月全品控DOH,,门店订单不处理|RDD<3D|客户percent异常|订单价格差异,门店订单待确认如何处理|订单计划到货日期在3天内，需确认是否录入订单或延单|客户改Percent，沃尔玛1.6%，有变更需邮件告知facing请改为常规固定折扣|订单价差：1307.75；价差介于0.01RMB，单价价差：0,,2022/6/15 9:26,2022/6/15 9:26
1974,沃尔玛,2022/6/15 0:00,2022/6/14 0:00,2022/6/15 0:00,2073,1100434190,2073REQ,20141046,惠氏启赋3段箱装 ILLUMA S3,,,20,1309.74,26194.8,,,81733.86,,,,,,1100434190,12480158,惠氏启赋幼儿配方奶粉（12-36月龄，3段） @6x810g CN ,,20,,1309.74,26194.8,25775.68,6月全品控DOH,,门店订单不处理|RDD<3D|客户percent异常|订单价格差异,门店订单待确认如何处理|订单计划到货日期在3天内，需确认是否录入订单或延单|客户改Percent，沃尔玛1.6%，有变更需邮件告知facing请改为常规固定折扣|订单价差：1307.75；价差介于0.01RMB，单价价差：0,,2022/6/15 9:26,2022/6/15 9:26
